Source,Target,Type,Id
GDSC001790059700.txt,Northeast Atlanta,person,2
GDSC001790059700.txt,2,person,2
GDSC001790059700.txt,Charles H. Cook,person,1
GDSC001790059700.txt,Carl,person,2
GDSC001790059700.txt,JOSEPH L,person,1
GDSC001790059700.txt,Johnny Jordan,person,2
GDSC001790059700.txt,DAVID MATTHEWS PEARLIE MCPHERSON,person,1
GDSC001790059700.txt,JUjlV Theodore M. Berry,person,1
GDSC001790059700.txt,James Farmer,person,1
GDSC001790059700.txt,R,person,1
GDSC001790059700.txt,IAN ALLEN,person,1
GDSC001790059700.txt,John Buchanan,person,2
GDSC001790059700.txt,James F. Smith,person,1
GDSC001790059700.txt,Bobbie Jean Deal,person,1
GDSC001790059700.txt,James F. Williams,person,1
GDSC001790059700.txt,Johnnie T.,person,1
GDSC001790059700.txt,U. LAIRD,person,1
GDSC001790059700.txt,Willie Featherstone,person,1
GDSC001790059700.txt,Florine Sosebee,person,1
GDSC001790059700.txt,Gennette McDowell,person,2
GDSC001790059700.txt,George Miller,person,2
GDSC001790059700.txt,Britt,person,1
GDSC001790059700.txt,Roscoe Hooper,person,11
GDSC001790059700.txt,Kephart,person,3
GDSC001790059700.txt,Stennises,person,1
GDSC001790059700.txt,DAVID MATTHEWS PEARLIE MCPHERBON TOMMY ROBINSON,person,1
GDSC001790059700.txt,Jack J. Morgan,person,1
GDSC001790059700.txt,Scheuer,person,2
GDSC001790059700.txt,Allen Black,person,1
GDSC001790059700.txt,John D. Bellipanni,person,1
GDSC001790059700.txt,Pearlie McPherson,person,2
GDSC001790059700.txt,James F. Strong,person,2
GDSC001790059700.txt,Myles Foster,person,3
GDSC001790059700.txt,DAVIO,person,1
GDSC001790059700.txt,A.H. Howard,person,3
GDSC001790059700.txt,Allen Butler,person,1
GDSC001790059700.txt,Ralph Phelps,person,1
GDSC001790059700.txt,John Sullivan,person,1
GDSC001790059700.txt,BILES PARMER M. HAMILTON,person,1
GDSC001790059700.txt,Cecilia Robinson,person,2
